장비ID,장비명/국사명,사업장,순서,key,업무명,운용팀,장비명/국사명,장비ID,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행),
14.50.24.179,철거대상#1_에버그린#1-E5024H,충청남도 서산시 대산읍 기은리 628-65,1,1충청남도 서산시 대산읍 기은리 628-65,L2 자산철거(현장확인 대상),북광주,철거대상#1_에버그린#1-E5024H,14.50.24.179,북광주국사,호남,,,,충청남도 서산시 대산읍 기은리 628-65
119.203.180.156,#석림동527#-E5608R,충청남도 서산시 석림동 527-24,1,1충청남도 서산시 석림동 527-24,L2 자산철거(현장확인 대상),북광주,#석림동527#-E5608R,119.203.180.156,북광주국사,호남,,,,충청남도 서산시 석림동 527-24 신축빌딩_지상1층
121.184.230.70,철거대상#1_일시정지_네오텔(1층카운더옆방)#1-E5624R,충청남도 서산시 읍내동 107-0,1,1충청남도 서산시 읍내동 107-0,L2 자산철거(현장확인 대상),북광주,철거대상#1_일시정지_네오텔(1층카운더옆방)#1-E5624R,121.184.230.70,북광주국사,호남,,,,충청남도 서산시 읍내동 107-0
222.116.103.4,OFF#(공사중)가경동14#-6 오아시스모텔,충청북도 청주시 흥덕구 가경동 1456-6,1,1충청북도 청주시 흥덕구 가경동 1456-6,L2 자산철거(현장확인 대상),북광주,OFF#(공사중)가경동14#-6 오아시스모텔,222.116.103.4,상무국사,호남,,,,충청북도 청주시 흥덕구 가경동 1456-6
59.31.227.55,철거대상#사직동 233_이용중단#-39 대한장여관,충청북도 청주시 서원구 사직동 233-39,1,1충청북도 청주시 서원구 사직동 233-39,L2 자산철거(현장확인 대상),익산,철거대상#사직동 233_이용중단#-39 대한장여관,59.31.227.55,부송국사,호남,,,,충청북도 청주시 서원구 사직동 233-39
121.183.208.84,철거대상#대천해물탕근처 신관32#-10번지,충청남도 공주시 신관동 32-10,1,1충청남도 공주시 신관동 32-10,L2 자산철거(현장확인 대상),북광주,철거대상#대천해물탕근처 신관32#-10번지,121.183.208.84,상무국사,호남,,,,충청남도 공주시 신관동 32-10
220.83.118.99,철거검토#(한전미납)#-0 KID하우징건물 지상1층,충청북도 청주시 흥덕구 봉명동 2694-0,1,1충청북도 청주시 흥덕구 봉명동 2694-0,L2 자산철거(현장확인 대상),전주,철거검토#(한전미납)#-0 KID하우징건물 지상1층,220.83.118.99,봉동국사,호남,,,,충청북도 청주시 흥덕구 봉명동 2694-0
222.116.236.17,OFF#복대동 태현빌#0321-V2708GC,충청북도 청주시 흥덕구 복대동 880-6,1,1충청북도 청주시 흥덕구 복대동 880-6,L2 자산철거(현장확인 대상),전주,OFF#복대동 태현빌#0321-V2708GC,222.116.236.17,봉동국사,호남,,,,충청북도 청주시 흥덕구 복대동 880-6 태현빌
112.165.137.100,FS04#복대동883-13 푸른솔빌NT#C820-V2716GC,충청북도 청주시 흥덕구 복대동 883-13,1,1충청북도 청주시 흥덕구 복대동 883-13,L2 자산철거(현장확인 대상),전주,FS04#복대동883-13 푸른솔빌NT#C820-V2716GC,112.165.137.100,북전주국사,호남,,,,충청북도 청주시 흥덕구 복대동 883-13
125.138.224.61,철거대상#(폐업)GM-T(본관2층 전산실)#1-E5024H,충청남도 천안시 직산읍 군서리 134-0,1,1충청남도 천안시 직산읍 군서리 134-0,L2 자산철거(현장확인 대상),전주,철거대상#(폐업)GM-T(본관2층 전산실)#1-E5024H,125.138.224.61,북전주국사,호남,,,,충청남도 천안시 직산읍 군서리 134-0
